"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1333,2.1872e-14,3.4474e-16,0.0018682,0.0039603,0.47172,0.79736,0,1,20.584,20.584,0,0
1.1339,2.1884e-14,3.4493e-16,0.0018789,0.0039747,0.4727,0.79662,0,1,20.708,20.708,0,0
1.1345,2.1895e-14,3.4511e-16,0.0018902,0.0039902,0.4737,0.79589,0,1,20.832,20.832,0,0
1.1351,2.1906e-14,3.4528e-16,0.0019015,0.0040056,0.4747,0.79515,0,1,20.956,20.956,0,0
1.1357,2.1917e-14,3.4546e-16,0.0019131,0.0040215,0.47571,0.79441,0,1,21.08,21.08,0,0
1.1363,2.1929e-14,3.4564e-16,0.0019249,0.0040376,0.47673,0.79367,0,1,21.204,21.204,0,0
1.1368,2.194e-14,3.4581e-16,0.0019368,0.0040539,0.47776,0.79293,0,1,21.328,21.328,0,0
1.1374,2.1951e-14,3.4599e-16,0.0019491,0.0040706,0.47881,0.7922,0,1,21.452,21.452,0,0
1.138,2.1962e-14,3.4616e-16,0.0019613,0.0040873,0.47985,0.79146,0,1,21.576,21.576,0,0
1.1385,2.1973e-14,3.4633e-16,0.0019739,0.0041044,0.48091,0.79073,0,1,21.7,21.7,0,0
1.1391,2.1983e-14,3.465e-16,0.0019865,0.0041215,0.48196,0.79,0,1,21.824,21.824,0,0
1.1397,2.1994e-14,3.4667e-16,0.0019991,0.0041387,0.48302,0.78926,0,1,21.948,21.948,0,0
1.1402,2.2005e-14,3.4684e-16,0.002012,0.004156,0.4841,0.78853,0,1,22.072,22.072,0,0
1.1408,2.2015e-14,3.47e-16,0.0020248,0.0041733,0.48517,0.7878,0,1,22.196,22.196,0,0
1.1413,2.2026e-14,3.4717e-16,0.0020378,0.0041909,0.48624,0.78706,0,1,22.32,22.32,0,0
1.1418,2.2036e-14,3.4733e-16,0.0020509,0.0042085,0.48732,0.78633,0,1,22.444,22.444,0,0
1.1424,2.2046e-14,3.4749e-16,0.002064,0.0042259,0.4884,0.7856,0,1,22.568,22.568,0,0
1.1429,2.2056e-14,3.4765e-16,0.0020771,0.0042433,0.48949,0.78486,0,1,22.692,22.692,0,0
1.1434,2.2067e-14,3.4781e-16,0.0020902,0.0042607,0.49058,0.78413,0,1,22.816,22.816,0,0
1.1439,2.2076e-14,3.4797e-16,0.0021034,0.004278,0.49166,0.7834,0,1,22.94,22.94,0,0
1.1445,2.2086e-14,3.4813e-16,0.0021166,0.0042954,0.49275,0.78266,0,1,23.064,23.064,0,0
1.145,2.2096e-14,3.4828e-16,0.0021297,0.0043125,0.49383,0.78193,0,1,23.188,23.188,0,0
1.1455,2.2106e-14,3.4843e-16,0.0021428,0.0043295,0.49491,0.7812,0,1,23.312,23.312,0,0
1.146,2.2116e-14,3.4859e-16,0.0021558,0.0043464,0.496,0.78046,0,1,23.436,23.436,0,0
1.1465,2.2125e-14,3.4874e-16,0.0021688,0.0043628,0.49709,0.77973,0,1,23.56,23.56,0,0
1.147,2.2135e-14,3.4889e-16,0.0021817,0.0043793,0.49818,0.77899,0,1,23.684,23.684,0,0
1.1474,2.2144e-14,3.4903e-16,0.0021945,0.0043953,0.49926,0.77826,0,1,23.808,23.808,0,0
1.1479,2.2153e-14,3.4918e-16,0.0022072,0.0044112,0.50035,0.77752,0,1,23.932,23.932,0,0
1.1484,2.2163e-14,3.4933e-16,0.0022198,0.0044268,0.50143,0.77679,0,1,24.056,24.056,0,0
1.1489,2.2172e-14,3.4947e-16,0.0022321,0.0044418,0.50252,0.77606,0,1,24.18,24.18,0,0
1.1493,2.2181e-14,3.4961e-16,0.0022445,0.0044569,0.5036,0.77532,0,1,24.304,24.304,0,0
1.1498,2.219e-14,3.4975e-16,0.0022566,0.0044712,0.5047,0.77459,0,1,24.428,24.428,0,0
1.1502,2.2198e-14,3.4989e-16,0.0022688,0.0044855,0.50579,0.77385,0,1,24.552,24.552,0,0
1.1507,2.2207e-14,3.5003e-16,0.0022807,0.0044994,0.50688,0.77312,0,1,24.676,24.676,0,0
1.1511,2.2216e-14,3.5016e-16,0.0022924,0.0045129,0.50796,0.77239,0,1,24.8,24.8,0,0
1.1516,2.2224e-14,3.503e-16,0.0023041,0.0045262,0.50904,0.77166,0,1,24.924,24.924,0,0
1.152,2.2232e-14,3.5043e-16,0.0023156,0.004539,0.51014,0.77093,0,1,25.048,25.048,0,0
1.1524,2.2241e-14,3.5056e-16,0.0023271,0.0045518,0.51124,0.7702,0,1,25.172,25.172,0,0
1.1529,2.2249e-14,3.5068e-16,0.0023395,0.0045666,0.5123,0.76949,0,1,25.296,25.296,0,0
1.1533,2.2256e-14,3.508e-16,0.0023522,0.004582,0.51336,0.76879,0,1,25.42,25.42,0,0
1.1537,2.2264e-14,3.5093e-16,0.0023663,0.0045995,0.51446,0.76807,0,1,25.544,25.544,0,0
1.1541,2.2273e-14,3.5106e-16,0.0023829,0.0046211,0.51565,0.76731,0,1,25.668,25.668,0,0
1.1545,2.228e-14,3.5118e-16,0.0023994,0.0046428,0.51679,0.76657,0,1,25.792,25.792,0,0
1.1549,2.2288e-14,3.513e-16,0.0024159,0.0046646,0.51791,0.76585,0,1,25.916,25.916,0,0
1.1553,2.2295e-14,3.5142e-16,0.0024325,0.0046866,0.51903,0.76513,0,1,26.04,26.04,0,0
1.1557,2.2303e-14,3.5153e-16,0.0024493,0.0047088,0.52015,0.76441,0,1,26.164,26.164,0,0
1.156,2.231e-14,3.5165e-16,0.0024663,0.0047314,0.52126,0.76369,0,1,26.288,26.288,0,0
1.1564,2.2317e-14,3.5176e-16,0.0024838,0.004755,0.52235,0.76297,0,1,26.412,26.412,0,0
1.1567,2.2324e-14,3.5187e-16,0.0025015,0.004779,0.52343,0.76225,0,1,26.536,26.536,0,0
1.1571,2.2331e-14,3.5197e-16,0.0025194,0.0048033,0.52452,0.76153,0,1,26.66,26.66,0,0
1.1574,2.2337e-14,3.5208e-16,0.0025379,0.0048285,0.5256,0.76081,0,1,26.784,26.784,0,0
1.1578,2.2344e-14,3.5218e-16,0.0025566,0.004854,0.52668,0.76009,0,1,26.908,26.908,0,0
1.1581,2.235e-14,3.5228e-16,0.0025755,0.0048798,0.52777,0.75937,0,1,27.032,27.032,0,0
1.1584,2.2356e-14,3.5238e-16,0.0025947,0.004906,0.52887,0.75865,0,1,27.156,27.156,0,0
1.1588,2.2363e-14,3.5248e-16,0.0026141,0.0049325,0.52997,0.75793,0,1,27.28,27.28,0,0
1.1591,2.2369e-14,3.5257e-16,0.0026337,0.0049592,0.53107,0.75721,0,1,27.404,27.404,0,0
1.1594,2.2375e-14,3.5267e-16,0.0026536,0.0049863,0.53218,0.75648,0,1,27.528,27.528,0,0
1.1597,2.238e-14,3.5276e-16,0.0026738,0.0050134,0.53332,0.75576,0,1,27.652,27.652,0,0
1.16,2.2386e-14,3.5285e-16,0.0026944,0.0050414,0.53444,0.75503,0,1,27.776,27.776,0,0
1.1603,2.2392e-14,3.5293e-16,0.0027155,0.0050701,0.53559,0.75431,0,1,27.9,27.9,0,0
1.1605,2.2397e-14,3.5302e-16,0.0027373,0.0050997,0.53675,0.75359,0,1,28.024,28.024,0,0
1.1608,2.2402e-14,3.531e-16,0.0027599,0.0051307,0.53792,0.75287,0,1,28.148,28.148,0,0
1.1611,2.2407e-14,3.5318e-16,0.0027839,0.0051642,0.53907,0.75214,0,1,28.272,28.272,0,0
1.1613,2.2412e-14,3.5326e-16,0.0028092,0.0051995,0.54028,0.75142,0,1,28.396,28.396,0,0
1.1616,2.2417e-14,3.5333e-16,0.002836,0.0052375,0.54147,0.7507,0,1,28.52,28.52,0,0
1.1618,2.2421e-14,3.534e-16,0.0028642,0.0052777,0.5427,0.74997,0,1,28.644,28.644,0,0
